Kategori: Tüm kategoriler

Ay,RM: (Dünya Genelinde)
2004-01,33
2004-02,31
2004-03,31
2004-04,32
2004-05,31
2004-06,32
2004-07,30
2004-08,30
2004-09,30
2004-10,30
2004-11,30
2004-12,32
2005-01,33
2005-02,31
2005-03,30
2005-04,31
2005-05,30
2005-06,29
2005-07,30
2005-08,28
2005-09,30
2005-10,28
2005-11,28
2005-12,27
2006-01,28
2006-02,27
2006-03,27
2006-04,25
2006-05,24
2006-06,23
2006-07,24
2006-08,22
2006-09,21
2006-10,24
2006-11,22
2006-12,21
2007-01,20
2007-02,20
2007-03,21
2007-04,19
2007-05,19
2007-06,20
2007-07,19
2007-08,17
2007-09,19
2007-10,18
2007-11,18
2007-12,18
2008-01,16
2008-02,16
2008-03,17
2008-04,16
2008-05,16
2008-06,17
2008-07,16
2008-08,15
2008-09,14
2008-10,14
2008-11,15
2008-12,13
2009-01,13
2009-02,12
2009-03,12
2009-04,11
2009-05,11
2009-06,11
2009-07,11
2009-08,10
2009-09,10
2009-10,11
2009-11,10
2009-12,9
2010-01,9
2010-02,9
2010-03,9
2010-04,9
2010-05,9
2010-06,9
2010-07,9
2010-08,8
2010-09,8
2010-10,8
2010-11,8
2010-12,8
2011-01,8
2011-02,8
2011-03,8
2011-04,8
2011-05,7
2011-06,7
2011-07,7
2011-08,7
2011-09,8
2011-10,7
2011-11,7
2011-12,6
2012-01,7
2012-02,6
2012-03,7
2012-04,7
2012-05,6
2012-06,6
2012-07,6
2012-08,6
2012-09,7
2012-10,6
2012-11,6
2012-12,6
2013-01,6
2013-02,6
2013-03,6
2013-04,6
2013-05,6
2013-06,6
2013-07,6
2013-08,6
2013-09,6
2013-10,7
2013-11,7
2013-12,6
2014-01,6
2014-02,7
2014-03,7
2014-04,8
2014-05,8
2014-06,7
2014-07,8
2014-08,7
2014-09,8
2014-10,8
2014-11,8
2014-12,10
2015-01,9
2015-02,9
2015-03,13
2015-04,11
2015-05,12
2015-06,11
2015-07,13
2015-08,13
2015-09,13
2015-10,12
2015-11,12
2015-12,16
2016-01,16
2016-02,15
2016-03,14
2016-04,16
2016-05,18
2016-06,20
2016-07,19
2016-08,16
2016-09,19
2016-10,18
2016-11,14
2016-12,16
2017-01,16
2017-02,17
2017-03,21
2017-04,22
2017-05,23
2017-06,27
2017-07,22
2017-08,21
2017-09,28
2017-10,21
2017-11,23
2017-12,30
2018-01,29
2018-02,31
2018-03,30
2018-04,28
2018-05,31
2018-06,33
2018-07,32
2018-08,32
2018-09,46
2018-10,35
2018-11,41
2018-12,37
2019-01,38
2019-02,39
2019-03,38
2019-04,40
2019-05,41
2019-06,43
2019-07,40
2019-08,42
2019-09,48
2019-10,29
2019-11,28
2019-12,30
2020-01,33
2020-02,30
2020-03,44
2020-04,41
2020-05,44
2020-06,47
2020-07,46
2020-08,50
2020-09,83
2020-10,48
2020-11,42
2020-12,51
2021-01,50
2021-02,47
2021-03,48
2021-04,48
2021-05,52
2021-06,59
2021-07,56
2021-08,61
2021-09,100
2021-10,53
2021-11,46
2021-12,60
2022-01,52
2022-02,51
2022-03,52
2022-04,53
2022-05,50
2022-06,53
2022-07,44
2022-08,56
2022-09,76
2022-10,38
2022-11,38
2022-12,59
2023-01,42
2023-02,38
2023-03,39
2023-04,36
2023-05,37
2023-06,32
2023-07,30
2023-08,35
2023-09,37
2023-10,22
2023-11,25
2023-12,29
2024-01,23
2024-02,21
2024-03,20
2024-04,21
2024-05,33
2024-06,26
2024-07,21
2024-08,20
2024-09,33
2024-10,18
2024-11,18
2024-12,19
2025-01,18
2025-02,17
2025-03,16
2025-04,16
2025-05,18
2025-06,25
2025-07,19
2025-08,20
2025-09,25
2025-10,20
2025-11,16
